Latitude,Longitude,class
40.696256,-73.996966,1
40.71309,-73.95255,1
40.71309,-73.95255,1
40.711813,-73.952933,1
40.711749,-73.952971,1
40.703807,-73.990578,1
40.604354,-73.909159,1
40.69651,-73.997209,1
40.72297,-73.94052,1
40.69584,-73.99245,1
40.695227,-73.993522,1
40.628021,-74.038361,1
40.697103,-73.995923,1
40.70189,-73.99553,1
40.691901,-73.992574,1
40.693846,-73.991133,1
40.674637,-73.983545,1
40.70504,-73.98732,1
40.686913,-73.977539,1
40.694182,-73.99764,1
40.696238,-73.996746,0
40.703807,-73.990578,1
40.70189,-73.99553,1
40.70189,-73.99553,1
40.685685,-73.989842,1
40.678422,-73.983617,1
40.70504,-73.98732,1
40.682886,-73.997866,1
40.70189,-73.99553,1
40.70189,-73.99553,1
40.70189,-73.99553,1
40.68091,-73.968406,1
40.70189,-73.99553,1
40.680319,-74.000171,1
40.709957,-73.968491,1
40.709957,-73.968491,1
40.70504,-73.98732,1
40.682142,-73.97845,1
40.679727,-73.949544,1
40.68319,-73.9461,1
40.6804,-73.997298,1
40.681129,-73.97244,1
40.601788,-73.948725,1
40.703856,-73.986582,1
40.696716,-73.992341,1
40.70504,-73.98732,1
40.641344,-74.013386,1
40.671778,-73.975946,1
40.680231,-74.001073,1
40.682676,-73.963114,1
40.696982,-73.995056,0
40.688904,-73.992244,0
40.689579,-73.977341,1
40.70504,-73.98732,1
40.6922,-73.927896,1
40.674054,-73.97071,1
40.70504,-73.98732,1
40.703856,-73.986582,1
40.70504,-73.98732,1
40.70504,-73.98732,1
40.70504,-73.98732,1
40.671195,-73.973017,1
40.69702,-73.9953,0
40.674822,-73.972016,1
40.718842,-73.951536,1
40.70504,-73.98732,1
40.68494,-73.985624,1
40.688904,-73.992244,0
40.691515,-73.985428,1
40.70189,-73.99553,1
40.70504,-73.98732,1
40.70504,-73.98732,1
40.640117,-74.011873,1
40.714491,-73.944918,1
40.668494,-73.977912,1
40.696212,-73.996765,0
40.684545,-73.998068,0
40.682143,-73.978477,1
40.671769,-73.972704,0
40.682142,-73.97845,1
40.682142,-73.97845,1
40.685129,-73.982197,1
40.682143,-73.978477,1
40.71672,-73.955916,1
40.683894,-73.995739,0
40.70504,-73.98732,1
40.676204,-73.975829,0
40.671721,-73.972493,0
40.70504,-73.98732,1
40.619555,-74.016845,1
40.70504,-73.98732,1
40.68013,-73.97275,1
40.680403,-74.001196,1
40.703824,-73.985838,1
40.633191,-74.037073,1
40.70504,-73.98732,1
40.70504,-73.98732,1
40.724225,-73.955081,1
40.667807,-73.982971,1
40.679788,-73.981197,1
40.688993,-73.998034,1
40.674915,-73.975162,0
40.6797,-73.97092,0
40.681797,-73.992304,1
40.699357,-73.994669,0
40.691515,-73.985428,1
40.714047,-73.950531,1
40.689587,-73.997487,0
40.688753,-73.967972,1
40.682142,-73.97845,1
40.682142,-73.97845,1
40.68091,-73.968406,1
40.70504,-73.98732,1
40.703069,-73.986249,1
40.694822,-73.991705,0
40.70189,-73.99553,1
40.70504,-73.98732,1
40.70504,-73.98732,1
40.694822,-73.991705,0
40.734029,-73.959822,1
40.703856,-73.986582,1
40.684453,-74.00045,0
40.703856,-73.986582,1
40.703082,-73.990689,1
40.662629,-73.983291,1
40.694822,-73.991705,0
40.688782,-73.987508,1
40.624897,-74.034256,1
40.70504,-73.98732,1
40.693254,-73.999539,0
40.72423,-73.955311,1
40.70504,-73.98732,1
40.681649,-73.912277,1
40.664025,-73.983984,1
40.666316,-73.983831,1
40.70504,-73.98732,1
40.680097,-73.981329,1
40.596486,-73.967592,1
40.680187,-73.981583,1
40.668587,-73.976279,0
40.723714,-73.955945,1
40.68394,-73.996025,1
40.723714,-73.955945,1
40.680108,-73.989998,1
40.690536,-73.992812,0
40.72423,-73.955311,1
40.629047,-74.03858,1
40.669464,-73.975105,0
40.70504,-73.98732,1
40.64412,-73.995064,1
40.681695,-73.989903,1
40.691515,-73.985428,1
40.685129,-73.982197,0
40.711789,-73.952968,1
40.688856,-73.977756,0
40.681695,-73.989903,1
40.709957,-73.968491,1
40.681695,-73.989903,1
40.70504,-73.98732,1
40.685804,-73.963301,1
40.694822,-73.991705,0
40.684621,-73.98506,1
40.679231,-73.991781,1
40.679074,-73.975506,0
40.675824,-73.972569,0
40.694822,-73.991705,0
40.715658,-73.944553,1
40.682143,-73.978477,1
40.68545,-73.987172,1
40.688904,-73.992244,0
40.678186,-73.966934,1
40.681877,-73.999479,1
40.673384,-73.95758,1
40.703069,-73.986249,1
40.70189,-73.99553,1
40.709957,-73.968491,1
40.666316,-73.983831,1
40.73318,-73.95443,1
40.666196,-73.980114,0
40.709957,-73.968491,1
40.679231,-73.991781,1
40.70504,-73.98732,1
40.709957,-73.968491,1
40.709957,-73.968491,1
40.714914,-73.954368,1
40.6805,-73.994655,1
40.678292,-73.999662,1
40.703856,-73.986582,1
40.688856,-73.977756,0
40.713855,-73.96365,1
40.688782,-73.987508,1
40.703856,-73.986582,1
40.70504,-73.98732,1
40.703856,-73.986582,1
40.709957,-73.968491,1
40.657221,-73.953312,1
40.605092,-74.007316,1
40.700343,-73.991639,0
40.616652,-73.950277,1
40.709957,-73.968491,1
40.713212,-73.938097,1
40.681507,-73.97596,1
40.685129,-73.982197,0
40.693254,-73.999539,0
40.709957,-73.968491,1
40.684621,-73.98506,1
40.691765,-73.99177,0
40.683234,-73.993933,1
40.686685,-73.987755,0
40.703069,-73.986249,1
40.709957,-73.968491,1
40.692383,-73.985243,1
40.678282,-73.999975,1
40.703069,-73.986249,1
40.682279,-73.964642,1
40.70192,-73.98964,0
40.694822,-73.991705,0
40.67618,-73.922295,1
40.682595,-73.977797,1
40.70189,-73.99553,1
40.667836,-73.946482,1
40.683234,-73.993933,1
40.71123,-73.948062,1
40.735704,-73.956698,1
40.70504,-73.98732,1
40.703069,-73.986249,1
40.703856,-73.986582,1
40.717446,-73.949917,1
40.694822,-73.991705,0
40.694822,-73.991705,0
40.679231,-73.991781,1
40.709957,-73.968491,1
40.678986,-73.994288,1
40.684362,-74.00024,1
40.703069,-73.986249,1
40.677474,-73.996726,1
40.70189,-73.99553,1
40.689597,-73.997526,0
40.679231,-73.991781,1
40.67175,-73.98241,0
40.67498,-73.99973,1
40.68844,-73.963629,1
40.635742,-73.951195,1
40.703856,-73.986582,1
40.703856,-73.986582,1
40.694822,-73.991705,0
40.665615,-73.961377,1
40.665615,-73.961377,1
40.66534,-73.96118,1
40.714847,-73.962944,1
40.68572,-73.97501,0
40.684452,-73.982642,1
40.665625,-73.961378,1
40.665615,-73.961377,1
40.681054,-73.870212,1
40.678238,-74.001968,0
40.676103,-73.981779,1
40.665625,-73.961378,1
40.703123,-73.98582,1
40.677313,-73.998999,1
40.693254,-73.999539,0
40.721084,-73.962965,1
40.703856,-73.986582,1
40.714589,-73.957988,1
40.677581,-74.01266,1
40.703856,-73.986582,1
40.682977,-73.952578,1
40.685375,-73.969332,1
40.63015,-74.03952,1
40.703856,-73.986582,1
40.605307,-73.909923,1
40.679231,-73.991781,1
40.679231,-73.991781,1
40.670125,-73.982218,1
40.723401,-73.949565,1
40.685129,-73.982197,0
40.703069,-73.986249,1
40.648175,-74.012349,1
40.703856,-73.986582,1
40.703082,-73.990689,1
40.679231,-73.991781,1
40.678672,-74.000913,0
40.618835,-73.990501,1
40.688904,-73.992244,0
40.67593,-73.977208,0
40.683331,-73.977694,1
40.678473,-73.919866,1
40.66057,-73.95837,1
40.675175,-73.973202,0
40.663422,-73.952362,1
40.676972,-74.000713,1
40.680617,-73.965935,1
40.685014,-73.973136,0
40.67894,-73.97526,0
40.691515,-73.985428,1
40.670998,-73.930931,1
40.683326,-73.999579,0
40.689247,-73.999756,0
40.703069,-73.986249,1
40.634159,-74.004494,1
