Lat,Long,B,Block,Lot,TaxClass,2010,2011,2012,2013,2014,2015,2016,Change,Percent_Change
40.8605510157,-73.8321697913,2.0,4417.0,1001.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8605510157,-73.8321697913,2.0,4417.0,1002.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8605510157,-73.8321697913,2.0,4417.0,1003.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8605510157,-73.8321697913,2.0,4417.0,1004.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8605510157,-73.8321697913,2.0,4417.0,1005.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8605510157,-73.8321697913,2.0,4417.0,1006.0,1A,1122333.0,263983.0,260000.0,256050.0,307260.0,303602.0,364322,-758011.0,-67.5388676979
40.8449503925,-73.8144447793,2.0,5417.0,147.0,1B,363000.0,155250.0,155000.0,138000.0,137931.0,128000.0,139000,-224000.0,-61.7079889807
40.8449503925,-73.8144447793,2.0,5417.0,197.0,1B,363000.0,155250.0,155000.0,126000.0,126967.0,128000.0,139000,-224000.0,-61.7079889807
40.8347708404,-73.8165330162,2.0,5467.0,100.0,1B,25137371.0,31236727.0,1916000.0,1497000.0,1493935.0,1513000.0,1630000,-23507371.0,-93.5156305725
40.8215252631,-73.8083679195,2.0,5519.0,135.0,1B,534000.0,183750.0,184000.0,184000.0,184184.0,186000.0,202000,-332000.0,-62.1722846442
40.8215252631,-73.8083679195,2.0,5519.0,147.0,1B,269000.0,91875.0,92000.0,92000.0,92092.0,93000.0,101000,-168000.0,-62.4535315985
40.8215252631,-73.8083679195,2.0,5519.0,172.0,1B,290000.0,153090.0,153000.0,136000.0,137051.0,138000.0,123000,-167000.0,-57.5862068966
40.8215252631,-73.8083679195,2.0,5519.0,208.0,1B,269000.0,91875.0,92000.0,92000.0,92092.0,93000.0,101000,-168000.0,-62.4535315985
40.8215252631,-73.8083679195,2.0,5519.0,591.0,1B,404000.0,217898.0,218000.0,194000.0,195460.0,197000.0,175000,-229000.0,-56.6831683168
40.8474184724,-73.7862379251,2.0,5644.0,67.0,1B,19900.0,19900.0,22000.0,6000.0,6000.0,7000.0,8000,-11900.0,-59.7989949749
40.6842575326,-73.9918801874,3.0,403.0,25.0,1B,1800000.0,348000.0,348000.0,331000.0,332512.0,304000.0,331000,-1469000.0,-81.6111111111
40.6605367031,-73.9867397123,3.0,875.0,131.0,1B,26200.0,26200.0,31000.0,4000.0,4000.0,5000.0,5000,-21200.0,-80.9160305344
40.6576403963,-73.9825198142,3.0,877.0,19.0,1B,522500.0,184276.0,184000.0,173000.0,171827.0,156000.0,170000,-352500.0,-67.4641148325
40.6811846928,-73.9800691581,3.0,934.0,16.0,1B,788000.0,240000.0,240000.0,228000.0,229083.0,210000.0,229000,-559000.0,-70.9390862944
40.6811846928,-73.9800691581,3.0,934.0,19.0,1B,1610000.0,492000.0,492000.0,467000.0,469278.0,430000.0,468000,-1142000.0,-70.9316770186
40.6811846928,-73.9800691581,3.0,934.0,66.0,1B,975000.0,300000.0,300000.0,285000.0,286353.0,262000.0,285000,-690000.0,-70.7692307692
40.6811846928,-73.9800691581,3.0,934.0,68.0,1B,788000.0,240000.0,240000.0,228000.0,229083.0,210000.0,229000,-559000.0,-70.9390862944
40.6784643904,-73.9787720676,3.0,944.0,51.0,1B,219000.0,60000.0,60000.0,72000.0,69866.0,59000.0,59000,-160000.0,-73.0593607306
