Lat,Long,OneYr_Over25
40.635579347,-73.975788038,1
40.8379840587,-73.852266006,1
40.6900086839,-73.9449773912,1
40.6830540114,-73.959614395,1
40.6936389276,-73.9726043975,1
40.6517617711,-73.8869834077,1
40.662225848,-73.9341077792,1
40.6798943581,-73.7841898609,1
40.5791625868,-74.1005027861,1
40.7852303977,-73.9528683309,1
40.6804587054,-73.9430924378,1
40.6804587054,-73.9430924378,1
40.6804587054,-73.9430924378,1
40.7256560074,-73.9841218942,1
40.7358785517,-74.0020640013,1
40.7363232092,-74.0015913124,1
40.735277408,-74.0037563042,1
40.734503082,-74.0091903897,1
40.737969837,-74.0073541377,1
40.7377365568,-74.0069716115,1
40.748474201,-74.0026418438,1
40.7434278262,-73.9810682203,1
40.7537101041,-73.9702191712,1
40.7589555656,-73.9617774774,1
40.7665901049,-73.9662928887,1
40.7659698716,-73.9581598172,1
40.7776630592,-73.9598422582,1
40.7767478715,-73.9565607665,1
40.787120952,-73.9515019697,1
40.7964057338,-73.9336788101,1
40.8068529472,-73.9518379797,1
40.8345947021,-73.9116113266,1
40.8252826574,-73.8901574109,1
40.8447046065,-73.8876784597,1
40.8446688514,-73.8876026198,1
40.8446303551,-73.887530399,1
40.8445918517,-73.8874509496,1
40.8639775629,-73.8901585743,1
40.8067274406,-73.8568253964,1
40.847587349,-73.8300121364,1
40.8546393696,-73.8684813391,1
40.9068296883,-73.8504415983,1
40.8346840572,-73.8189327925,1
40.6853817113,-73.9816435777,1
40.6845122516,-73.9861688632,1
40.6832089108,-73.9903407478,1
40.6836236338,-73.994263544,1
40.6830306234,-73.9919344198,1
40.6822345322,-73.9905283745,1
40.6808593967,-73.9904744886,1
40.6798273125,-73.9898941729,1
40.6798633231,-73.9948515416,1
40.678367359,-73.9936042294,1
40.6760975933,-73.9981253171,1
40.6778700336,-74.0126832881,1
40.6413758879,-74.0076173413,1
40.6392679882,-74.0059992775,1
40.6432170759,-74.0136928551,1
40.6381562045,-74.0083303895,1
40.6782387158,-73.9757220765,1
40.677342096,-73.9594952762,1
40.6771459423,-73.9639117855,1
40.6763277804,-73.9632200352,1
40.6747747499,-73.9567966243,1
40.6749922582,-73.9671287001,1
40.6727730503,-73.9624577397,1
40.6728746046,-73.9624504726,1
40.6730118033,-73.9623278256,1
40.6726534286,-73.9394076042,1
40.6717373164,-73.9406413207,1
40.6656511324,-73.9440999394,1
40.6706784376,-73.9273439066,1
40.6700700951,-73.9335340707,1
40.6699594786,-73.9233793779,1
40.6865460272,-73.9231908499,1
40.6825559163,-73.9127466773,1
40.6811271103,-73.9220974344,1
40.681781133,-73.9154085267,1
40.6810163589,-73.9130912072,1
40.6778775474,-73.911083564,1
40.6778556073,-73.907622547,1
40.6980114054,-73.9375885978,1
40.6844213906,-73.9316015814,1
40.6849346516,-73.9271120351,1
40.6831532931,-73.9271103766,1
